Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Away,PASS,HEAD,1,6697,267.88,6725,269.0,Player23,Player24,-8.480000000000002,14.959999999999997,-10.599999999999998,3.3999999999999995
Away,BALL LOST,INTERCEPTION,1,6746,269.84,6751,270.04,Player24,,-11.659999999999998,3.3999999999999995,-13.780000000000001,2.040000000000002
Home,RECOVERY,INTERCEPTION,1,6749,269.96,6749,269.96,Player4,,-11.659999999999998,1.3600000000000012,,
Home,PASS,,1,6749,269.96,6767,270.68,Player4,Player6,-11.659999999999998,1.3600000000000012,-11.659999999999998,5.440000000000001
Home,PASS,,1,6808,272.32,6830,273.2,Player6,Player1,-14.840000000000002,8.16,-9.540000000000003,10.200000000000001
Home,PASS,,1,6830,273.2,6859,274.36,Player1,Player4,-9.540000000000003,10.200000000000001,-9.540000000000003,-0.0
Home,PASS,,1,6898,275.92,6941,277.64,Player4,Player8,-7.420000000000001,-2.040000000000002,-20.14,-29.919999999999995
Home,BALL OUT,,1,7071,282.84,7172,286.88,Player8,,-36.04,-22.439999999999998,-54.06,21.76
Away,RECOVERY,,1,7848,313.92,7848,313.92,Player25,,-45.58,1.3600000000000012,,
Home,CHALLENGE,AERIAL-FAULT-WON,1,7889,315.56,7889,315.56,Player6,,13.780000000000001,13.600000000000001,,
Away,CHALLENGE,AERIAL-FAULT-LOST,1,7890,315.6,7890,315.6,Player23,,13.780000000000001,15.639999999999999,,
Home,SET PIECE,FREE KICK,1,8148,325.92,8148,325.92,Player6,,,,,
Home,PASS,,1,8148,325.92,8200,328.0,Player6,Player4,15.900000000000002,12.24,20.139999999999993,-11.560000000000002
Home,BALL LOST,INTERCEPTION,1,8315,332.6,8342,333.68,Player4,,2.120000000000002,-21.080000000000005,-22.26,-25.16
Away,RECOVERY,INTERCEPTION,1,8344,333.76,8344,333.76,Player15,,-16.959999999999997,-25.84,,
Away,PASS,,1,8385,335.4,8412,336.48,Player15,Player20,-15.900000000000002,-22.439999999999998,-12.719999999999999,-8.16
Away,PASS,,1,8412,336.48,8438,337.52,Player20,Player21,-12.719999999999999,-8.16,-7.420000000000001,-14.959999999999997
Home,CHALLENGE,TACKLE-LOST,1,8480,339.2,8480,339.2,Player6,,-2.120000000000002,-14.959999999999997,,
Away,CHALLENGE,TACKLE-WON,1,8483,339.32,8483,339.32,Player21,,-2.120000000000002,-15.639999999999999,,
Away,PASS,,1,8483,339.32,8524,340.96,Player21,Player15,-2.120000000000002,-15.639999999999999,-4.2399999999999975,-25.84
Away,PASS,,1,8524,340.96,8547,341.88,Player15,Player19,-4.2399999999999975,-25.84,3.180000000000003,-31.959999999999997
Away,BALL OUT,,1,8565,342.6,8597,343.88,Player19,,6.360000000000006,-30.599999999999998,26.5,-34.0
