Time [s],Period,HomeHull,AwayHull
555.0,1.0,673.459595910288,1209.75307841844
557.0,1.0,738.317493515952,1410.840464989064
559.0,1.0,651.2242552503919,1410.438722719392
561.0,1.0,694.6533932923039,1382.4432545403838
563.0,1.0,702.1182866934159,1299.5936939613598
565.0,1.0,744.277588463296,1281.0779045476402
567.0,1.0,933.7315495591281,1478.729737724632
569.0,1.0,939.07437370244,1456.1997170354798
571.0,1.0,968.9967578981759,1342.522764122576
573.0,1.0,1101.178168073896,1166.7861172428238
575.0,1.0,1254.87574929424,1095.59912780192
577.0,1.0,1278.90013910988,1048.7898695408321
579.0,1.0,1122.8676262933282,955.726074651144
581.0,1.0,984.5397449930613,694.6085989336348
594.0,1.0,1090.417898390632,609.324493630392
596.0,1.0,1331.82786978116,860.410959869632
598.0,1.0,1606.555566929232,1163.203394062296
600.0,1.0,1742.358896791216,1366.143340795728
602.0,1.0,1573.964338994776,1382.98590825816
604.0,1.0,1228.78346475592,1202.0729365858479
606.0,1.0,1004.8590189688641,999.9397101350401
608.0,1.0,1004.007590907664,936.973606052424
610.0,1.0,779.1481180375001,1016.0034217327501
618.0,1.0,529.9091324294079,1181.924258276808
620.0,1.0,514.5240136074319,1236.0010700286
622.0,1.0,595.3373862304161,1260.733475475952
624.0,1.0,687.4080032771519,1314.6406269455438
626.0,1.0,713.248413964648,1469.8444824216158
628.0,1.0,743.099951348272,1523.412933950024
630.0,1.0,695.62134665276,1295.0975728622561
632.0,1.0,639.9589534070881,1134.615326016184
634.0,1.0,697.465926874808,1145.4034125175199
636.0,1.0,817.081741877176,1089.268355306152
638.0,1.0,819.958597503696,885.084332690776
640.0,1.0,827.901576259584,773.46896584992
642.0,1.0,703.0987506623201,655.738635121704
644.0,1.0,515.421534046344,755.118589642264
646.0,1.0,479.437995319464,883.58997072904
648.0,1.0,572.5462289058801,948.161681030536
650.0,1.0,552.338182596808,1054.055307918592
652.0,1.0,633.7858959445521,1060.371922633752
654.0,1.0,875.548644067784,1030.3299465600319
656.0,1.0,1087.593655015688,1055.833508825304
658.0,1.0,1148.2217119738398,1157.609933833128
660.0,1.0,1121.727160027008,1191.56935684348
662.0,1.0,1179.845398449,1475.5466357012
664.0,1.0,1212.645402564328,1638.46499143392
666.0,1.0,1234.80406824676,1646.486512464544
668.0,1.0,1249.357057749984,1645.80258835468
670.0,1.0,1165.520902689936,1640.532377624992
672.0,1.0,1070.3493753337361,1599.674348471248
674.0,1.0,1024.4009907204959,1511.141703506384
676.0,1.0,1032.424519597184,1475.280849761656
678.0,1.0,1020.112792584096,1472.9224216063358
680.0,1.0,1077.961137695864,1480.423364356224
682.0,1.0,1062.393930320224,1291.857211171584
684.0,1.0,849.247621875352,1090.514278706616
686.0,1.0,710.7450746276079,905.4645831077839
688.0,1.0,751.782722650768,904.8958242052399
690.0,1.0,825.4771494289921,969.800781639168
